population,phenotype_contrast,Lambda,lo,hi,N,K
heldout,margin/all,1.200808329730281,0.5455654708959362,1.6156971549139187,50,4
heldout,margin/batch_free,1.1544780361232823,nan,1.8437694518667154,50,4
heldout,accuracy/all,1.3267680478304797,1.1528726020899704,1.4839732265691536,50,4
heldout,accuracy/batch_free,1.3376998233853132,1.1088050228331376,1.5379081600363367,50,4
original_same_sizes,margin/all,1.3164584103706622,0.8803573811948451,1.6372961240238344,50,10
original_same_sizes,margin/batch_free,1.2926699510067858,0.8674183593015885,1.6062954169458974,50,10
original_same_sizes,accuracy/all,1.0775725959638591,0.8098281145654899,1.2865720756569285,50,10
original_same_sizes,accuracy/batch_free,1.1129784434972088,0.6014360857907857,1.429877104060798,50,10
combined_14,margin/all,1.5525478561265122,0.534698956011149,2.15484866506512,50,14
combined_14,margin/batch_free,1.512639761138438,0.5930374401555913,2.062283202860707,50,14
combined_14,accuracy/all,1.2202637910671044,0.8683173452898776,1.4959123903824572,50,14
combined_14,accuracy/batch_free,1.2674850976875083,0.7917232644991987,1.6226740834262485,50,14
without_sciq,margin/all,1.0229266488937985,nan,1.5269422739105505,50,3
without_sciq,margin/batch_free,0.9787079147752394,nan,1.7053913133546863,50,3
without_sciq,accuracy/all,1.0355276899081567,0.8205759383063228,1.2175570660230022,50,3
without_sciq,accuracy/batch_free,1.0628770732093293,0.8669862980599301,1.2336957506171764,50,3
without_medmcqa,margin/all,1.105641733498636,0.5936374277977127,1.469462640684039,50,3
without_medmcqa,margin/batch_free,1.0809703766415426,nan,1.6971270716115703,50,3
without_medmcqa,accuracy/all,1.3681920824479668,1.1506980836719047,1.5591662502203532,50,3
without_medmcqa,accuracy/batch_free,1.4141309395492945,1.1504680864730306,1.637857337861109,50,3
without_drop_mc,margin/all,1.3214928584872938,1.1575429480747654,1.468817538452071,50,3
without_drop_mc,margin/batch_free,1.2862570912068725,1.1158749075688048,1.440855551743801,50,3
without_drop_mc,accuracy/all,1.220950593722796,1.140196272670416,1.3037570852935834,50,3
without_drop_mc,accuracy/batch_free,1.195336126275039,1.0548997910137425,1.3268752481370827,50,3
without_coqa_mc,margin/all,1.1122122419648273,0.9114459521177947,1.2900508846239915,50,3
without_coqa_mc,margin/batch_free,1.122895183910315,0.8420371200351467,1.3554359101912183,50,3
without_coqa_mc,accuracy/all,1.2241877259646499,0.8652428696523863,1.5068738714510292,50,3
without_coqa_mc,accuracy/batch_free,1.185337624666518,0.9413745849551066,1.3906731785635336,50,3
