population,phenotype_contrast,Lambda,lo,hi,N,K
heldout,margin/all,1.1521307213009595,0.598914283270701,1.5160965358883485,18,4
heldout,margin/batch_free,1.0361335365293378,0.804171033838312,1.2205962097533019,18,4
heldout,accuracy/all,1.0212130748657016,0.4590972270077968,1.376452971993711,18,4
heldout,accuracy/batch_free,nan,nan,0.8548587870212132,18,4
original_same_sizes,margin/all,0.9475395520913635,0.29511233541186344,1.3060140373036218,18,10
original_same_sizes,margin/batch_free,0.9625603921967552,nan,2.0641541561892596,18,10
original_same_sizes,accuracy/all,1.1295412440160824,0.840838117537953,1.3531012566121678,18,10
original_same_sizes,accuracy/batch_free,1.0358108764658003,0.5489685036408264,1.3596197776074326,18,10
combined_14,margin/all,0.907993677756862,nan,1.4124768338630074,18,14
combined_14,margin/batch_free,1.187815045440422,nan,2.2304622356538126,18,14
combined_14,accuracy/all,1.2361144675853126,0.8883575418536283,1.5055662691613942,18,14
combined_14,accuracy/batch_free,1.0471177174818687,0.5481393004211037,1.3700266620796582,18,14
without_sciq,margin/all,1.167189880672235,0.8110322412802307,1.441013514664081,18,3
without_sciq,margin/batch_free,0.9233577004130071,0.48250804448281226,1.2099415896081205,18,3
without_sciq,accuracy/all,1.0942729852458641,0.6128170230579871,1.4208402344828082,18,3
without_sciq,accuracy/batch_free,nan,nan,1.4677429715145616,18,3
without_medmcqa,margin/all,1.1605557724399271,0.297155560776182,1.6149094316646704,18,3
without_medmcqa,margin/batch_free,1.0193624637757541,0.795581839333588,1.2014902514186319,18,3
without_medmcqa,accuracy/all,1.0290223943435381,0.6108413366557488,1.337447980382082,18,3
without_medmcqa,accuracy/batch_free,0.8472729701482133,nan,1.2127946994557939,18,3
without_drop_mc,margin/all,0.9577946272989204,0.8591378433938935,1.0474343142539877,18,3
without_drop_mc,margin/batch_free,0.864697770471522,0.31506051222910153,1.1779945250692079,18,3
without_drop_mc,accuracy/all,0.9769037614458357,0.24308934725787518,1.3565401228330682,18,3
without_drop_mc,accuracy/batch_free,nan,nan,0.8876677442228785,18,3
without_coqa_mc,margin/all,1.0159590240677172,0.8866087439972543,1.1327067722539237,18,3
without_coqa_mc,margin/batch_free,1.1804655051661295,0.8648030127995447,1.4241401717915092,18,3
without_coqa_mc,accuracy/all,0.7961313202170608,nan,1.1354541663037947,18,3
without_coqa_mc,accuracy/batch_free,nan,nan,1.0288583145487433,18,3
