population,phenotype_contrast,Lambda,lo,hi,N,K
heldout,margin/all,1.1807469808545523,0.6845508105296232,1.5522137831675382,68,4
heldout,margin/batch_free,1.1379397773237085,0.05580329198266207,1.6484764612313805,68,4
heldout,accuracy/all,1.262092969388506,1.0836831210590643,1.4216740886119235,68,4
heldout,accuracy/batch_free,1.2641005208432914,1.038654546947611,1.4671160942374704,68,4
original_same_sizes,margin/all,1.1744407578269,0.9541058327634152,1.3604063360235894,68,10
original_same_sizes,margin/batch_free,1.185873876925235,0.6968237854993825,1.5183015885983606,68,10
original_same_sizes,accuracy/all,1.0837692757031805,0.859472951529541,1.2688132236490712,68,10
original_same_sizes,accuracy/batch_free,1.1015741559686514,0.7477831675901343,1.3599939166547634,68,10
combined_14,margin/all,1.3200860173910949,0.9460477051002437,1.6137654169025055,68,14
combined_14,margin/batch_free,1.432053722723993,0.4490203339840801,1.97703644223619,68,14
combined_14,accuracy/all,1.2224846093553892,0.9102716698908702,1.4762739849556015,68,14
combined_14,accuracy/batch_free,1.2401004827909827,0.849326613534878,1.5499312518491501,68,14
without_sciq,margin/all,1.0894484960641975,0.6920660412760649,1.3893753620239995,68,3
without_sciq,margin/batch_free,0.9713473315523473,nan,1.5817045244977375,68,3
without_sciq,accuracy/all,1.0507972018900862,0.8321118909458313,1.2300359905788656,68,3
without_sciq,accuracy/batch_free,1.0179788230927398,0.8373782429611796,1.173945454635118,68,3
without_medmcqa,margin/all,1.1291977197561023,0.6625566334035667,1.4814343781402113,68,3
without_medmcqa,margin/batch_free,1.072040866302594,0.33997605449571155,1.5260477042249752,68,3
without_medmcqa,accuracy/all,1.2945576066691373,1.085726757862938,1.4810076980076423,68,3
without_medmcqa,accuracy/batch_free,1.3660660216584903,1.12788213537896,1.5774168451561918,68,3
without_drop_mc,margin/all,1.1976747407216384,1.00899658436873,1.3693244061664582,68,3
without_drop_mc,margin/batch_free,1.2544404011733121,1.1086470390166792,1.3882124441065962,68,3
without_drop_mc,accuracy/all,1.169332075247176,1.063335463129098,1.2740743889133768,68,3
without_drop_mc,accuracy/batch_free,1.1121056263436002,0.9053359612562025,1.2944840010253587,68,3
without_coqa_mc,margin/all,1.07389267874122,0.9803583253612078,1.1600591787043635,68,3
without_coqa_mc,margin/batch_free,1.1358194562934578,0.9472992161655702,1.3021156851731068,68,3
without_coqa_mc,accuracy/all,1.1597984003961181,0.8784377334119648,1.390383725810106,68,3
without_coqa_mc,accuracy/batch_free,1.1281872663012449,0.8689264179773568,1.3414562923973528,68,3
