population,phenotype_contrast,Lambda,lo,hi,N,K
heldout,margin/all,1.1978700241626907,0.8643230786186266,1.4537863125206663,25,4
heldout,margin/batch_free,0.9783867356020115,0.6974979245190946,1.2009063799234807,25,4
heldout,accuracy/all,1.3732577116643572,1.1381198775100672,1.567274326327379,25,4
heldout,accuracy/batch_free,1.1634487536698765,0.8880415467406485,1.3870972707471039,25,4
original_same_sizes,margin/all,1.5139107095732447,1.0640041259437911,1.8366773365873978,25,10
original_same_sizes,margin/batch_free,1.3908076642835676,0.8833077243599309,1.748189682628035,25,10
original_same_sizes,accuracy/all,1.2193598898281044,1.0834245247107999,1.3378639250815187,25,10
original_same_sizes,accuracy/batch_free,1.3224000511665281,0.9926034404767259,1.5844797070557672,25,10
combined_14,margin/all,1.7149322196159538,0.7049062370549236,2.3485662464519312,25,14
combined_14,margin/batch_free,1.3930591772954044,0.9738430605176049,1.704697452283285,25,14
combined_14,accuracy/all,1.4266276799791382,1.1533805357611957,1.6548534398248618,25,14
combined_14,accuracy/batch_free,1.3696075278260167,0.8866457343288904,1.7161456007718767,25,14
without_sciq,margin/all,1.0128548106211752,0.7563541413181218,1.2124133571002187,25,3
without_sciq,margin/batch_free,0.8603778086620602,0.7299097801522355,0.9721619389743815,25,3
without_sciq,accuracy/all,1.0903018710130878,0.7313548686176004,1.3390213565760782,25,3
without_sciq,accuracy/batch_free,0.9925144338148868,0.6138598499953684,1.258099670063041,25,3
without_medmcqa,margin/all,1.103485161105347,0.8652811804939566,1.304024085311915,25,3
without_medmcqa,margin/batch_free,0.9377410348073209,0.6803840357103638,1.1482876860197897,25,3
without_medmcqa,accuracy/all,1.4373021952899203,1.2409939370024365,1.6049500347243204,25,3
without_medmcqa,accuracy/batch_free,1.3200137924718554,1.058428053763225,1.5380542556647243,25,3
without_drop_mc,margin/all,1.30235630287194,0.9468996224047096,1.5832394908699037,25,3
without_drop_mc,margin/batch_free,0.9229277870461142,0.583268725534407,1.1738166715317362,25,3
without_drop_mc,accuracy/all,1.2004051320988944,1.078556018359617,1.3136551097750175,25,3
without_drop_mc,accuracy/batch_free,0.9089433483288184,0.7180680664018535,1.0648725583108902,25,3
without_coqa_mc,margin/all,1.1686322578357342,0.968373865941463,1.33990365515989,25,3
without_coqa_mc,margin/batch_free,1.1852134412043667,0.9916176087943227,1.3503415166704031,25,3
without_coqa_mc,accuracy/all,1.2673498275942099,0.7429739753485635,1.6306476448720406,25,3
without_coqa_mc,accuracy/batch_free,1.1721499816213927,0.6135170571086941,1.5413970196406779,25,3
