population,phenotype_contrast,Lambda,lo,hi,N,K
heldout,margin/all,1.2029017846879255,nan,1.8283387894182985,25,4
heldout,margin/batch_free,1.2188246494217136,nan,2.3627600048942163,25,4
heldout,accuracy/all,1.2990788246831935,0.9594001865090314,1.5839753424843266,25,4
heldout,accuracy/batch_free,1.3933257361261444,1.0596830025950168,1.668796550646385,25,4
original_same_sizes,margin/all,1.1102274905258391,0.6862251443387851,1.4065691637574498,25,10
original_same_sizes,margin/batch_free,1.2307539603405344,0.4738154150394639,1.6750453362999866,25,10
original_same_sizes,accuracy/all,0.986986417661735,0.31013178361156746,1.3200797252836567,25,10
original_same_sizes,accuracy/batch_free,1.0486983304473567,nan,1.5233210075241888,25,10
combined_14,margin/all,1.4054089573746293,0.5688285401091483,1.9153860289604359,25,14
combined_14,margin/batch_free,1.5688746698216645,nan,2.3247409469205373,25,14
combined_14,accuracy/all,1.0839305444651175,0.5997324653051794,1.4159580661876399,25,14
combined_14,accuracy/batch_free,1.2363878285859433,0.4866536614697678,1.7166523051168006,25,14
without_sciq,margin/all,1.0296885298292755,nan,1.8124878069962622,25,3
without_sciq,margin/batch_free,1.0237275130546708,nan,2.0883652990086348,25,3
without_sciq,accuracy/all,1.0045533601052024,0.694354848120725,1.2526531198556845,25,3
without_sciq,accuracy/batch_free,1.0905123841285265,0.7773486863504346,1.3439009856277986,25,3
without_medmcqa,margin/all,1.1071627491227134,nan,1.7293957808371034,25,3
without_medmcqa,margin/batch_free,1.1334849509588634,nan,2.242216761895566,25,3
without_medmcqa,accuracy/all,1.3319751657990024,0.9435050086125316,1.6386949594817999,25,3
without_medmcqa,accuracy/batch_free,1.4393014629466865,1.031511738943153,1.7600368414104088,25,3
without_drop_mc,margin/all,1.3319431545281972,1.2133414305711685,1.4396360812017586,25,3
without_drop_mc,margin/batch_free,1.3411984266505828,1.072828007749324,1.566103891890427,25,3
without_drop_mc,accuracy/all,1.2335560313073615,1.1034869339326558,1.3532658348529352,25,3
without_drop_mc,accuracy/batch_free,1.2561260210268896,1.1048498233159225,1.3959721860283565,25,3
without_coqa_mc,margin/all,1.046389500331981,0.6131072005589379,1.3671154630244957,25,3
without_coqa_mc,margin/batch_free,1.0670323421159973,0.30897916155246347,1.505896290989114,25,3
without_coqa_mc,accuracy/all,1.1899600100740988,0.8402155363040772,1.4537156994556883,25,3
without_coqa_mc,accuracy/batch_free,1.1950638297638394,0.8691175162906472,1.4458455822186882,25,3
