phenotype,label,contrast,Lambda,K_eff,rbar_E,sigma_agg,sigma_indep,N,K,df_per_config,t_lo,t_hi,t_se,wild_lo,wild_hi,wild_se,config_lo,config_hi,config_se,retained_excess
"margin","full contrast set","all","1.69206","3.49275","0.207008","0.538259","0.318108","85","10","2","1.56783","1.80778","0.0564516","1.54873","1.80784","0.0564516","1.53083","1.8609","0.079354",""
"margin","batch-free contrast","batch_free","1.77845","3.16169","0.240319","0.585361","0.329142","85","10","1","1.56941","1.96537","0.0928098","1.55825","1.94162","0.0928098","1.59329","1.98281","0.10397",""
"margin","after competence","all","0.686589","21.2132","-0.0587329","0.201802","0.29392","85","10","2","0.616845","0.749873","0.0312283","0.607034","0.744928","0.0312283","0.605473","0.780271","0.0436859","-0.452866"
"margin","after gain","all","1.67959","3.54481","0.202336","0.532138","0.316826","85","10","2","1.53829","1.80989","0.0638502","1.49835","1.79324","0.0638502","1.51072","1.85453","0.0789942","0.98198"
"margin","after competence and gain","all","0.690725","20.9599","-0.0580998","0.202718","0.293486","85","10","2","0.613754","0.75994","0.034286","0.599615","0.750781","0.034286","0.603032","0.789512","0.0438432","-0.446889"
"accuracy","full contrast set","all","1.6796","3.54477","0.20234","0.0151711","0.00903257","85","10","2","1.53334","1.81411","0.0659896","1.50906","1.80192","0.0659896","1.5485","1.86254","0.0814732",""
"accuracy","batch-free contrast","batch_free","1.78777","3.12878","0.244015","0.0166318","0.00930307","85","10","1","1.56978","1.98194","0.0965648","1.54514","1.94867","0.0965648","1.60138","1.98269","0.10485",""
"accuracy","after competence","all","0.808659","15.2922","-0.0384523","0.00677895","0.00838295","85","10","2","0.714358","0.893057","0.0418897","0.698495","0.88601","0.0418897","0.729641","0.929172","0.0518895","-0.28155"
"accuracy","after gain","all","1.66732","3.59716","0.197775","0.0149981","0.0089953","85","10","2","1.50923","1.81167","0.0710387","1.46588","1.78589","0.0710387","1.52594","1.84801","0.081384","0.981937"
"accuracy","after competence and gain","all","0.811325","15.1918","-0.0379724","0.00679068","0.00836986","85","10","2","0.710681","0.900794","0.0445312","0.688431","0.883338","0.0445312","0.725894","0.928966","0.0520943","-0.277627"
