phenotype,trait,sigma_E2,noise2,reliability
"margin","arc_challenge","1.05963","0.370646","0.740858"
"margin","arc_easy","0.991246","0.358573","0.734355"
"margin","boolq","1.05951","0.315072","0.770787"
"margin","csqa","0.868221","0.319477","0.731012"
"margin","hellaswag","1.06788","0.307724","0.7763"
"margin","mmlu","0.909142","0.407618","0.690439"
"margin","openbookqa","1.00366","0.370893","0.730172"
"margin","piqa","1.03704","0.278089","0.788546"
"margin","socialiqa","1.1362","0.307106","0.787221"
"margin","winogrande","0.986743","0.300176","0.766749"
"accuracy","arc_challenge","0.000911743","0.000436885","0.676052"
"accuracy","arc_easy","0.00079451","0.000555185","0.588659"
"accuracy","boolq","0.000867821","0.0004778","0.644923"
"accuracy","csqa","0.000707015","0.000441111","0.615799"
"accuracy","hellaswag","0.00084817","0.000468671","0.644094"
"accuracy","mmlu","0.000645033","0.000548867","0.540274"
"accuracy","openbookqa","0.000855033","0.000558889","0.604724"
"accuracy","piqa","0.000768976","0.00047","0.620654"
"accuracy","socialiqa","0.000968976","0.000455425","0.680269"
"accuracy","winogrande","0.00079146","0.000516841","0.604952"
