kernel,cell,method,true_ratio,varied,replicates,seed,coverage,mc_se,excludes_one_rate,undefined_or_unbounded,median_width,interval_status
snap-r6-alpha-levels,independent,wild_90,1.2445882853377657,"{""noise_sd"": 0.73, ""rho"": 0.061}",4000,20260979,0.89625,0.004821460813384259,0.99125,0.0,0.20019399828833118,all_defined
snap-r6-alpha-levels,independent,wild_95,1.2445882853377657,"{""noise_sd"": 0.73, ""rho"": 0.061}",4000,20260979,0.95075,0.003421419204803762,0.97425,0.0,0.24163172868591032,all_defined
snap-r6-alpha-levels,independent,wild_99,1.2445882853377657,"{""noise_sd"": 0.73, ""rho"": 0.061}",4000,20260979,0.98975,0.001592555925234651,0.848,0.0,0.32774420003471216,all_defined
snap-r6-alpha-levels,independent,cluster_t_90,1.2445882853377657,"{""noise_sd"": 0.73, ""rho"": 0.061}",4000,20260979,0.8935,0.004877441696217393,0.9915,0.0,0.19973639292353318,all_defined
snap-r6-alpha-levels,independent,cluster_t_95,1.2445882853377657,"{""noise_sd"": 0.73, ""rho"": 0.061}",4000,20260979,0.95125,0.003404902256306338,0.9735,0.0,0.24132023041477357,all_defined
snap-r6-alpha-levels,independent,cluster_t_99,1.2445882853377657,"{""noise_sd"": 0.73, ""rho"": 0.061}",4000,20260979,0.98975,0.001592555925234651,0.844,0.0,0.32833732452183895,all_defined
snap-r6-alpha-levels,band_0.044,wild_90,1.2445882853377657,"{""noise_sd"": 0.73, ""rho"": 0.061, ""size_shared"": 0.044}",4000,20260979,0.89625,0.004821460813384259,0.9865,0.0,0.2000280992156961,all_defined
snap-r6-alpha-levels,band_0.044,wild_95,1.2445882853377657,"{""noise_sd"": 0.73, ""rho"": 0.061, ""size_shared"": 0.044}",4000,20260979,0.94725,0.0035343824602043273,0.96875,0.0,0.24155597370463588,all_defined
snap-r6-alpha-levels,band_0.044,wild_99,1.2445882853377657,"{""noise_sd"": 0.73, ""rho"": 0.061, ""size_shared"": 0.044}",4000,20260979,0.98575,0.0018739622127993928,0.848,0.0,0.32789255090410063,all_defined
snap-r6-alpha-levels,band_0.044,cluster_t_90,1.2445882853377657,"{""noise_sd"": 0.73, ""rho"": 0.061, ""size_shared"": 0.044}",4000,20260979,0.897,0.004806011860160147,0.987,0.0,0.19945099644002529,all_defined
snap-r6-alpha-levels,band_0.044,cluster_t_95,1.2445882853377657,"{""noise_sd"": 0.73, ""rho"": 0.061, ""size_shared"": 0.044}",4000,20260979,0.94525,0.0035969583504677936,0.9695,0.0,0.2409513331065527,all_defined
snap-r6-alpha-levels,band_0.044,cluster_t_99,1.2445882853377657,"{""noise_sd"": 0.73, ""rho"": 0.061, ""size_shared"": 0.044}",4000,20260979,0.98575,0.0018739622127993928,0.84825,0.0,0.32793690848606893,all_defined
snap-r6-alpha-levels,band_0.25,wild_90,1.2445882853377657,"{""noise_sd"": 0.73, ""rho"": 0.061, ""size_shared"": 0.25}",4000,20260979,0.74275,0.0069114477047142586,0.956,0.0,0.19454970121061266,all_defined
snap-r6-alpha-levels,band_0.25,wild_95,1.2445882853377657,"{""noise_sd"": 0.73, ""rho"": 0.061, ""size_shared"": 0.25}",4000,20260979,0.828,0.005966908747416874,0.9195,0.0,0.2349164734454608,all_defined
snap-r6-alpha-levels,band_0.25,wild_99,1.2445882853377657,"{""noise_sd"": 0.73, ""rho"": 0.061, ""size_shared"": 0.25}",4000,20260979,0.92775,0.004093590645753433,0.78375,0.0,0.31919302887870804,all_defined
snap-r6-alpha-levels,band_0.25,cluster_t_90,1.2445882853377657,"{""noise_sd"": 0.73, ""rho"": 0.061, ""size_shared"": 0.25}",4000,20260979,0.7415,0.0069223866910192175,0.95675,0.0,0.19404751253795927,all_defined
snap-r6-alpha-levels,band_0.25,cluster_t_95,1.2445882853377657,"{""noise_sd"": 0.73, ""rho"": 0.061, ""size_shared"": 0.25}",4000,20260979,0.82625,0.005990845881426094,0.92125,0.0,0.23441838256454195,all_defined
snap-r6-alpha-levels,band_0.25,cluster_t_99,1.2445882853377657,"{""noise_sd"": 0.73, ""rho"": 0.061, ""size_shared"": 0.25}",4000,20260979,0.92725,0.004106623841429842,0.7815,0.0,0.31892582745822273,all_defined
snap-r6-battery-width,benchmarks_04,wild_recipe,1.087658034494298,"{""benchmarks"": 4, ""noise_sd"": 0.73, ""rho"": 0.061}",4000,20260956,0.94725,0.0035343824602043273,,0.0,0.20500340629593328,all_defined
snap-r6-battery-width,benchmarks_04,wild_size,1.087658034494298,"{""benchmarks"": 4, ""noise_sd"": 0.73, ""rho"": 0.061}",4000,20260956,0.94625,0.003565842729986839,,0.0095,0.3030871220364797,undefined_present
snap-r6-battery-width,benchmarks_04,cluster_t_recipe,1.087658034494298,"{""benchmarks"": 4, ""noise_sd"": 0.73, ""rho"": 0.061}",4000,20260956,0.945,0.003604684452209376,,0.0,0.2030720642142732,all_defined
snap-r6-battery-width,benchmarks_04,cluster_t_size,1.087658034494298,"{""benchmarks"": 4, ""noise_sd"": 0.73, ""rho"": 0.061}",4000,20260956,0.94225,0.003688324060464318,,0.0,0.2538588729342933,all_defined
snap-r6-battery-width,benchmarks_06,wild_recipe,1.1423659658795862,"{""benchmarks"": 6, ""noise_sd"": 0.73, ""rho"": 0.061}",4000,20260956,0.943,0.003665753674212168,,0.0,0.22110634634197224,all_defined
snap-r6-battery-width,benchmarks_06,wild_size,1.1423659658795862,"{""benchmarks"": 6, ""noise_sd"": 0.73, ""rho"": 0.061}",4000,20260956,0.95025,0.003437838619685338,,0.009,0.3280013197418457,undefined_present
snap-r6-battery-width,benchmarks_06,cluster_t_recipe,1.1423659658795862,"{""benchmarks"": 6, ""noise_sd"": 0.73, ""rho"": 0.061}",4000,20260956,0.9415,0.003710719269899031,,0.0,0.22019673266386952,all_defined
snap-r6-battery-width,benchmarks_06,cluster_t_size,1.1423659658795862,"{""benchmarks"": 6, ""noise_sd"": 0.73, ""rho"": 0.061}",4000,20260956,0.949,0.003478469491026191,,0.0,0.27925669223498856,all_defined
snap-r6-battery-width,benchmarks_08,wild_recipe,1.194571052721436,"{""benchmarks"": 8, ""noise_sd"": 0.73, ""rho"": 0.061}",4000,20260956,0.95025,0.003437838619685338,,0.0,0.23283610602780425,all_defined
snap-r6-battery-width,benchmarks_08,wild_size,1.194571052721436,"{""benchmarks"": 8, ""noise_sd"": 0.73, ""rho"": 0.061}",4000,20260956,0.95575,0.0032516125807051494,,0.00725,0.3425285293065241,undefined_present
snap-r6-battery-width,benchmarks_08,cluster_t_recipe,1.194571052721436,"{""benchmarks"": 8, ""noise_sd"": 0.73, ""rho"": 0.061}",4000,20260956,0.95025,0.003437838619685338,,0.0,0.23213261726836798,all_defined
snap-r6-battery-width,benchmarks_08,cluster_t_size,1.194571052721436,"{""benchmarks"": 8, ""noise_sd"": 0.73, ""rho"": 0.061}",4000,20260956,0.95175,0.0033882863478460618,,0.0,0.29034450182085314,all_defined
